Entity,Code,Year,Estimated historic plastic fate,Aggregate Sum,TOTAL
Discarded,,1980,100,2842.6,3600
Discarded,,1981,98.3,2842.6,3600
Discarded,,1982,97.6,2842.6,3600
Discarded,,1983,96.9,2842.6,3600
Discarded,,1984,96.2,2842.6,3600
Discarded,,1985,95.5,2842.6,3600
Discarded,,1986,94.8,2842.6,3600
Discarded,,1987,94.1,2842.6,3600
Discarded,,1988,92.8,2842.6,3600
Discarded,,1989,91.4,2842.6,3600
Discarded,,1990,90,2842.6,3600
Discarded,,1991,88.6,2842.6,3600
Discarded,,1992,87.2,2842.6,3600
Discarded,,1993,85.8,2842.6,3600
Discarded,,1994,84.4,2842.6,3600
Discarded,,1995,83,2842.6,3600
Discarded,,1996,81.6,2842.6,3600
Discarded,,1997,80.2,2842.6,3600
Discarded,,1998,78.8,2842.6,3600
Discarded,,1999,77.4,2842.6,3600
Discarded,,2000,76,2842.6,3600
Discarded,,2001,74.6,2842.6,3600
Discarded,,2002,73.2,2842.6,3600
Discarded,,2003,71.8,2842.6,3600
Discarded,,2004,70.4,2842.6,3600
Discarded,,2005,69,2842.6,3600
Discarded,,2006,67.6,2842.6,3600
Discarded,,2007,66.2,2842.6,3600
Discarded,,2008,64.8,2842.6,3600
Discarded,,2009,63.4,2842.6,3600
Discarded,,2010,62,2842.6,3600
Discarded,,2011,60.6,2842.6,3600
Discarded,,2012,59.2,2842.6,3600
Discarded,,2013,57.8,2842.6,3600
Discarded,,2014,56.4,2842.6,3600
Discarded,,2015,55,2842.6,3600
Incinerated,,1980,0,476,3600
Incinerated,,1981,1.7,476,3600
Incinerated,,1982,2.4,476,3600
Incinerated,,1983,3.1,476,3600
Incinerated,,1984,3.8,476,3600
Incinerated,,1985,4.5,476,3600
Incinerated,,1986,5.2,476,3600
Incinerated,,1987,5.9,476,3600
Incinerated,,1988,6.6,476,3600
Incinerated,,1989,7.3,476,3600
Incinerated,,1990,8,476,3600
Incinerated,,1991,8.7,476,3600
Incinerated,,1992,9.4,476,3600
Incinerated,,1993,10.1,476,3600
Incinerated,,1994,10.8,476,3600
Incinerated,,1995,11.5,476,3600
Incinerated,,1996,12.2,476,3600
Incinerated,,1997,12.9,476,3600
Incinerated,,1998,13.6,476,3600
Incinerated,,1999,14.3,476,3600
Incinerated,,2000,15,476,3600
Incinerated,,2001,15.7,476,3600
Incinerated,,2002,16.4,476,3600
Incinerated,,2003,17.1,476,3600
Incinerated,,2004,17.8,476,3600
Incinerated,,2005,18.5,476,3600
Incinerated,,2006,19.2,476,3600
Incinerated,,2007,19.9,476,3600
Incinerated,,2008,20.6,476,3600
Incinerated,,2009,21.3,476,3600
Incinerated,,2010,22,476,3600
Incinerated,,2011,22.7,476,3600
Incinerated,,2012,23.4,476,3600
Incinerated,,2013,24.1,476,3600
Incinerated,,2014,24.8,476,3600
Incinerated,,2015,25.5,476,3600
Recycled,,1980,0,281.4,3600
Recycled,,1981,0,281.4,3600
Recycled,,1982,0,281.4,3600
Recycled,,1983,0,281.4,3600
Recycled,,1984,0,281.4,3600
Recycled,,1985,0,281.4,3600
Recycled,,1986,0,281.4,3600
Recycled,,1987,0,281.4,3600
Recycled,,1988,0.6,281.4,3600
Recycled,,1989,1.3,281.4,3600
Recycled,,1990,2,281.4,3600
Recycled,,1991,2.7,281.4,3600
Recycled,,1992,3.4,281.4,3600
Recycled,,1993,4.1,281.4,3600
Recycled,,1994,4.8,281.4,3600
Recycled,,1995,5.5,281.4,3600
Recycled,,1996,6.2,281.4,3600
Recycled,,1997,6.9,281.4,3600
Recycled,,1998,7.6,281.4,3600
Recycled,,1999,8.3,281.4,3600
Recycled,,2000,9,281.4,3600
Recycled,,2001,9.7,281.4,3600
Recycled,,2002,10.4,281.4,3600
Recycled,,2003,11.1,281.4,3600
Recycled,,2004,11.8,281.4,3600
Recycled,,2005,12.5,281.4,3600
Recycled,,2006,13.2,281.4,3600
Recycled,,2007,13.9,281.4,3600
Recycled,,2008,14.6,281.4,3600
Recycled,,2009,15.3,281.4,3600
Recycled,,2010,16,281.4,3600
Recycled,,2011,16.7,281.4,3600
Recycled,,2012,17.4,281.4,3600
Recycled,,2013,18.1,281.4,3600
Recycled,,2014,18.8,281.4,3600
Recycled,,2015,19.5,281.4,3600
,,,,3600,
